FlightNumber,Airline,DepartureAirport,ArrivalAirport,ScheduledDepartureTime,ActualDepartureTime,DelayDuration,DelayCause,Date,PassengerImpact,FlightStatus
AS214,American Airlines,ORD,DFW,29-01-2025 04:00,29-01-2025 07:00,180,Weather,29-01-2025,Missed connections,Delayed
AA323,Delta Air Lines,MIA,JFK,13-03-2025 06:45,13-03-2025 07:30,45,Weather,13-03-2025,Moderate,Delayed
DL814,Southwest Airlines,DEN,ORD,20-01-2025 06:30,20-01-2025 08:00,90,Weather,20-01-2025,Missed connections,Delayed
JB370,American Airlines,SEA,PHX,16-01-2025 12:00,16-01-2025 13:00,60,Security,16-01-2025,Moderate,Delayed
AA146,Alaska Airlines,DFW,DEN,11-01-2025 07:00,11-01-2025 09:00,120,Crew,11-01-2025,Major impact,Delayed
DL786,United Airlines,LAX,DFW,10-03-2025 23:15,11-03-2025 00:45,90,Crew,10-03-2025,Major impact,Delayed
AA334,American Airlines,DEN,SEA,04-02-2025 02:15,04-02-2025 02:15,0,None,04-02-2025,Minimal,On-time
AS422,Delta Air Lines,SEA,SFO,24-04-2025 20:45,24-04-2025 21:00,15,Technical,24-04-2025,Minimal,Delayed
JB369,Alaska Airlines,PHX,SFO,25-04-2025 18:45,25-04-2025 19:00,15,Security,25-04-2025,Minimal,Delayed
AA981,American Airlines,ATL,DFW,12-04-2025 21:45,12-04-2025 23:15,90,Late Aircraft,12-04-2025,Missed connections,Delayed
JB981,American Airlines,LAX,PHX,07-04-2025 08:30,,,Crew,07-04-2025,Major impact,Cancelled
JB208,Alaska Airlines,ORD,PHX,19-03-2025 06:15,19-03-2025 06:30,15,Security,19-03-2025,Minimal,Delayed
JB100,JetBlue Airways,DEN,MIA,03-01-2025 03:30,03-01-2025 03:30,0,None,03-01-2025,Minimal,On-time
UA345,American Airlines,DFW,LAX,11-01-2025 23:45,11-01-2025 23:45,0,None,11-01-2025,Minimal,On-time
JB884,Delta Air Lines,ATL,MIA,12-03-2025 05:30,12-03-2025 07:00,90,Technical,12-03-2025,Major impact,Delayed
SW787,Alaska Airlines,DEN,MIA,26-04-2025 16:45,26-04-2025 17:15,30,Weather,26-04-2025,Moderate,Delayed
JB667,Delta Air Lines,PHX,DFW,01-01-2025 02:00,01-01-2025 02:05,5,Crew,01-01-2025,Minimal,Delayed
DL385,Alaska Airlines,SEA,DFW,11-03-2025 04:45,11-03-2025 06:45,120,Late Aircraft,11-03-2025,Major impact,Delayed
AS541,United Airlines,SFO,SEA,01-03-2025 23:00,01-03-2025 23:10,10,Weather,01-03-2025,Minimal,Delayed
UA919,American Airlines,DFW,ORD,25-01-2025 17:45,25-01-2025 18:00,15,Crew,25-01-2025,Minimal,Delayed
AA553,JetBlue Airways,LAX,JFK,25-03-2025 17:00,25-03-2025 17:00,0,None,25-03-2025,Minimal,On-time
DL270,Southwest Airlines,SEA,MIA,28-01-2025 12:00,28-01-2025 12:05,5,Late Aircraft,28-01-2025,Minimal,Delayed
SW392,Southwest Airlines,MIA,SEA,20-01-2025 06:30,20-01-2025 06:35,5,Security,20-01-2025,Minimal,Delayed
AA865,United Airlines,JFK,LAX,16-03-2025 15:15,16-03-2025 18:15,180,Weather,16-03-2025,Major impact,Delayed
AA791,Delta Air Lines,SFO,LAX,01-05-2025 18:15,01-05-2025 18:20,5,Security,01-05-2025,Minimal,Delayed
AS697,JetBlue Airways,MIA,DEN,30-04-2025 08:15,30-04-2025 09:15,60,Technical,30-04-2025,Moderate,Delayed
DL787,Alaska Airlines,ORD,MIA,10-02-2025 02:00,10-02-2025 02:10,10,Weather,10-02-2025,Minimal,Delayed
JB371,Delta Air Lines,DEN,LAX,23-04-2025 07:30,23-04-2025 09:30,120,Security,23-04-2025,Missed connections,Delayed
AS641,American Airlines,MIA,ORD,30-04-2025 21:00,30-04-2025 21:00,0,None,30-04-2025,Minimal,On-time
AA209,Alaska Airlines,MIA,ATL,04-02-2025 09:15,04-02-2025 09:15,0,None,04-02-2025,Minimal,On-time
AS973,United Airlines,MIA,SEA,02-02-2025 01:00,,,Technical,02-02-2025,Missed connections,Cancelled
DL859,Southwest Airlines,MIA,SFO,13-03-2025 00:00,13-03-2025 00:15,15,Security,13-03-2025,Minimal,Delayed
UA696,JetBlue Airways,ATL,SEA,17-01-2025 01:30,17-01-2025 01:35,5,Crew,17-01-2025,Minimal,Delayed
DL782,American Airlines,DEN,PHX,24-04-2025 13:15,24-04-2025 13:15,0,None,24-04-2025,Minimal,On-time
DL919,Delta Air Lines,SFO,JFK,23-01-2025 23:30,23-01-2025 23:30,0,None,23-01-2025,Minimal,On-time
AS984,Alaska Airlines,DFW,DEN,21-01-2025 22:00,21-01-2025 22:05,5,Late Aircraft,21-01-2025,Minimal,Delayed
SW458,United Airlines,DFW,ORD,04-01-2025 21:15,04-01-2025 22:00,45,Weather,04-01-2025,Moderate,Delayed
UA459,Alaska Airlines,MIA,SFO,28-03-2025 17:30,28-03-2025 17:30,0,None,28-03-2025,Minimal,On-time
UA282,JetBlue Airways,ORD,JFK,14-01-2025 19:45,14-01-2025 20:45,60,Late Aircraft,14-01-2025,Moderate,Delayed
JB218,Southwest Airlines,PHX,DFW,02-02-2025 01:45,02-02-2025 04:45,180,Technical,02-02-2025,Missed connections,Delayed
AS438,JetBlue Airways,DEN,LAX,03-04-2025 09:30,03-04-2025 10:30,60,Late Aircraft,03-04-2025,Moderate,Delayed
JB230,Delta Air Lines,SFO,SEA,28-03-2025 23:15,29-03-2025 00:00,45,Late Aircraft,28-03-2025,Moderate,Delayed
AA411,United Airlines,DFW,SEA,11-04-2025 18:30,11-04-2025 20:30,120,Technical,11-04-2025,Missed connections,Delayed
AS273,Alaska Airlines,LAX,DEN,07-03-2025 21:30,07-03-2025 22:00,30,Crew,07-03-2025,Moderate,Delayed
DL250,American Airlines,JFK,ORD,02-03-2025 19:00,02-03-2025 19:30,30,Late Aircraft,02-03-2025,Moderate,Delayed
DL251,Alaska Airlines,JFK,ATL,10-04-2025 13:15,10-04-2025 16:15,180,Late Aircraft,10-04-2025,Major impact,Delayed
AA567,Delta Air Lines,SEA,PHX,13-03-2025 19:30,13-03-2025 19:30,0,None,13-03-2025,Minimal,On-time
JB934,Alaska Airlines,MIA,SFO,17-04-2025 17:45,17-04-2025 17:45,0,None,17-04-2025,Minimal,On-time
SW560,United Airlines,DFW,DEN,09-04-2025 16:45,09-04-2025 17:30,45,Late Aircraft,09-04-2025,Moderate,Delayed
UA340,United Airlines,DEN,SFO,25-04-2025 17:00,25-04-2025 17:30,30,Late Aircraft,25-04-2025,Moderate,Delayed
